Steps,_lr_multiplier,_Episode,_max_adv,_min_adv,_std_adv,_mean_discrew,PolicyEntropy,ValFuncLoss,_max_act,ExplainedVarOld,_min_obs,_std_obs,_max_obs,_max_discrew,_min_discrew,Beta,_min_act,PolicyLoss,_MeanReward,_mean_act,_std_act,KL,_std_discrew,ExplainedVarNew,_mean_adv,_mean_obs
7956,1.0,1000,3.316176748581561,-1.5733769760969816,0.9992224104760768,0.0,0.9372476,7.376576318490587e-06,2.6118298,0.9999909917800378,-1.5970350567712117,0.08169436269088363,0.6059124182383341,0.0,0.0,0.19753086419753085,-2.6988487,-0.00086994295,-397.8,-0.25682545,0.604534,0.0030832787,0.0,0.9999926289389469,1.161017542091667e-17,-0.0681785734914186
8012,1.0,1020,3.584219117257763,-1.761841555788804,0.9991238645753151,0.0,0.9345338,5.588233346326462e-06,2.713562,0.9999934172685395,-1.5711774364191515,0.07945565675445122,0.611838987386983,0.0,0.0,0.19753086419753085,-2.858926,-0.00070603425,-400.6,-0.2912007,0.6338089,0.0020939242,0.0,0.9999944118623907,3.547392589915628e-18,-0.0651246816278124
8015,1.0,1040,3.8992288295909767,-1.7004385983398578,0.9990241384555201,0.0,0.93133456,4.562971894990062e-06,2.9347649,0.9999948581596629,-1.5481924328280434,0.07857973060553282,0.6187024442838804,0.0,0.0,0.1316872427983539,-2.8648248,-0.00092116895,-400.75,-0.3134483,0.6546696,0.0012641685,0.0,0.9999954720903916,1.2854484926414788e-17,-0.06028176458503543
8028,1.0,1060,4.010741413410071,-1.6963704242774085,0.9989610685041606,0.0,0.9282497,3.954448542606784e-06,2.6763108,0.999995591214288,-1.5274602629195133,0.07717420172169161,0.6242484373122067,0.0,0.0,0.0877914951989026,-2.9650035,-0.00078416127,-401.4,-0.33856893,0.61603,0.00079695455,0.0,0.9999960481107468,-8.850806374689838e-19,-0.05547133149345044
8280,1.0,1080,6.168120088738309,-14.743037300648579,0.9992446430887472,0.0,0.92567503,8.739179387727766e-06,2.5096312,0.9999874612566385,-1.5089186455485413,0.07407939502657065,0.6312889854232476,0.0,0.0,0.1316872427983539,-2.751861,-0.007281362,-414.0,-0.33868572,0.63039154,0.01041877,0.0,0.9999912631420533,5.5779321043969216e-18,-0.05144091396622654
13298,1.0,1100,2.6468277192162266,-9.802683219234343,0.9998420503127848,0.0,0.9244586,4.919516948400537e-06,2.4570456,0.9980510837973453,-1.49256289770076,0.27607270616919705,3.4179999999997346,0.0,0.0,0.1316872427983539,-2.9546006,-0.004519772,-664.9,-0.38994426,0.5316252,0.0058411215,0.0,0.9999950837608159,1.7098336249303057e-17,0.1579380462417938
23257,1.0,1120,6.513177071623105,-5.14676714764552,0.9986071000827874,0.0,0.924166,1.8955055962906952e-06,2.9839664,0.999989075568238,-1.487523332020238,0.6807797308148401,5.841000000000285,0.0,0.0,0.0877914951989026,-3.0267837,-0.00018409538,-1162.85,-0.39969215,0.4440599,0.00037457905,0.0,0.9999981045180688,0.0,0.472935413661893
29766,1.0,1140,12.146859789522173,-4.324300306090084,0.9979337275337838,0.0,0.9240236,1.4284393559638037e-06,2.5130553,0.9999934853893471,-1.501694394869377,0.6100241070360001,5.173000000000062,0.0,0.0,0.05852766346593507,-2.9212139,-0.0005042062,-1488.3,-0.3962712,0.4330206,0.0004379716,0.0,0.9999985745630093,-4.39225503527039e-17,0.5157573831462198
8021,1.0,1160,4.199038977969349,-2.0607416447127536,0.9980284672205647,0.0,0.9243845,1.4678539123249511e-06,2.7990541,0.9999982607939769,-1.529545287842106,0.07760328734993925,0.6552383072866311,0.0,0.0,0.03901844231062338,-2.8896246,-0.0008243132,-401.05,-0.3692115,0.6349822,0.00086835213,0.0,0.9999989313722484,-7.795506887780678e-17,-0.06025172438347104
8048,1.5,1180,4.900098464255217,-1.8332799982642902,0.9977821508468441,0.0,0.925328,7.684182047623016e-07,2.7354655,0.9999989397577097,-1.5150030013490405,0.0758609082269929,0.6551098866201222,0.0,0.0,0.02857142857142857,-2.803822,-0.000104878774,-402.4,-0.35573375,0.590172,0.00067301444,0.0,0.9999992318454597,-3.5315245316108356e-18,-0.05752439222669483
