_Episode,PolicyEntropy,ValFuncLoss,Beta,_std_act,_std_adv,_lr_multiplier,_min_adv,_mean_adv,_max_adv,_max_act,ExplainedVarOld,_min_obs,ExplainedVarNew,_std_obs,_mean_act,_max_obs,_MeanReward,_min_discrew,_min_act,_mean_obs,_max_discrew,_mean_discrew,_std_discrew,PolicyLoss,KL,Steps
860,0.92368054,1600.5368685313802,0.2962962962962963,0.40735087,0.9999998925030342,1.0,-3.88368521654632,5.486816492355986e-17,1.6174999951771074,3.0906386,0.20696099537858548,-2.2361501087468096,0.22448792800545392,0.03383893875021881,0.75191647,0.6767184570513026,-108.55,-200.0,-1.3520124,0.04286178290553128,-1.0,-57.191602316602314,1342.5487132626974,-0.002647372,0.008761842,2072
880,0.9242587,1883.2026806626145,0.4444444444444444,0.46007907,0.9999998857588885,1.0,-1.7421441734958374,-1.2213884585476583e-17,1.776624796631389,2.9088018,0.22894631051749814,-2.252429829889394,0.285036790369687,0.052503710066996875,0.57098114,0.674780545647755,-116.35,-186.0,-2.1287367,0.016378879795040737,-1.0,-61.17619252256124,1501.860662254297,-0.003735123,0.0064100563,2327
900,0.92850685,1213.4358487980967,0.6666666666666666,0.43894282,0.9999998685606283,1.0,-1.7592561675612863,1.2901366060101683e-17,1.5148589387439013,2.6452022,0.373380004866827,-0.44206959743256496,0.4087282302639219,0.035120832971054144,0.5869356,0.6738860896152323,-110.15,-129.0,-1.5971,0.03236808838789891,-1.0,-56.065819337267364,1067.1944876060354,-0.002666502,0.0074822437,2203
920,0.93547845,1358.726131092462,0.4444444444444444,0.39700657,0.9999998752524643,1.0,-4.729186537889475,-2.1063519834785577e-17,1.1751798998694585,2.7937498,0.3434235820743007,-0.4422094904295583,0.3306462729584776,0.030892913380212227,0.6897202,0.6729893476350063,-106.15,-188.0,-1.4647455,0.04724622167889132,-1.0,-55.565711462450594,1222.9314527546908,-0.0005406516,0.00029370462,2024
940,0.9405133,826.6449568309357,0.2962962962962963,0.39113715,0.9999998571552445,1.0,-1.7640195106466015,1.0356230585436243e-16,1.5159691247946845,2.7252011,0.44769719295817534,-0.442783440031353,0.4543213855790893,0.030744630715692684,0.69931394,0.6711867504531803,-101.2,-108.0,-1.4938462,0.0495864782240282,-1.0,-51.14525691699605,858.0421415347842,-0.000361976,0.00075127487,2024
960,0.9426998,2011.8353869108362,0.19753086419753085,0.40349016,0.9999998921317644,1.0,-4.18955139263308,-1.601419198675385e-16,1.3480598861910604,2.8338513,0.2511277603772003,-0.44337697663442804,0.23849277988075734,0.031102393295558344,0.71128637,0.6699250342935744,-111.95,-196.0,-1.5325794,0.044679618970725955,-1.0,-60.94267515923567,1655.7835830444048,-0.00032591564,0.0005217491,2041
980,0.9403031,919.4783374483123,0.19753086419753085,0.4143884,0.9999998692609665,1.0,-1.767025009799693,-1.0248212535001446e-17,2.2116983594430857,3.1138365,0.3829933674359173,-0.4439110964461968,0.3933670685767269,0.0324157426208656,0.6823177,0.668690150523554,-104.0,-116.0,-1.2773474,0.04152752902091367,-1.0,-52.65528846153846,917.8393470321745,-0.0012766691,0.0051597697,2080
1000,0.94206357,1885.472953704578,0.19753086419753085,0.39547864,0.9999998935315889,1.0,-4.014265140773108,7.056035111818274e-17,2.2401010028309116,3.2562618,0.24665021386964836,-2.345502250087762,0.24319853141553416,0.03098984204064704,0.6864887,0.6680032118989598,-110.6,-197.0,-1.4608237,0.04644746106655968,-1.0,-60.04766633565045,1599.340329707933,-0.0019593704,0.0044714785,2014
1020,0.9422115,1382.93462828735,0.19753086419753085,0.43514153,0.999999876442651,1.0,-2.0434746917015194,1.2511873938315017e-16,1.948318928608912,2.6661005,0.2965907827373572,-0.547262281229965,0.30901294536129464,0.0358607826382497,0.62303525,0.666344350459984,-107.9,-196.0,-2.0886059,0.03320849835816004,-1.0,-56.45597775718257,1287.4519545351864,-0.0011446616,0.002372592,2158
1040,0.94395685,1453.2377023179783,0.2962962962962963,0.3748876,0.9999998826333549,1.0,-4.155848652917452,4.8930636009057564e-17,1.6753731031130898,2.8537035,0.2917794318254894,-2.378921042888796,0.308215556636681,0.035796220116912955,0.67003405,0.665944410212656,-106.6,-203.0,-1.3415279,0.04417538168502168,-1.0,-56.43482538121003,1352.8173213787557,-0.0018435663,0.008158692,2033
1060,0.9493825,1378.756319339915,0.4444444444444444,0.40492842,0.9999998827197417,1.0,-4.839186061599952,-2.1021974430772194e-17,1.5970855088560976,2.7737565,0.3014900510065981,-0.4455583061447118,0.27967880164175896,0.030579982939182338,0.74989635,0.664821645508178,-106.35,-196.0,-1.3793783,0.04116690491291567,-1.0,-56.0138067061144,1289.6605588817695,-0.0028676915,0.007652692,2028
1080,0.9465692,1882.4114667849237,0.2962962962962963,0.39715505,0.9999998956145302,1.0,-3.9905245766602526,5.001306335164104e-17,1.3559259214250485,3.7223907,0.2328805478092465,-2.4071141272969667,0.25732698918503716,0.03197276218417743,0.8471309,0.6644687056445812,-109.35,-198.0,-1.4432597,0.046205506400885436,-1.0,-59.86877828054298,1658.1743344048375,-0.00068117614,0.0012168657,1989
1100,0.9455439,1900.0275054354308,0.4444444444444444,0.4170376,0.9999998907081104,1.0,-3.8795827461739236,-7.7964788961208e-17,1.5555957661856183,3.0861487,0.2708058580032703,-2.4210045515348417,0.23719522355779132,0.034383658664012794,0.77904856,0.6630642531254505,-110.15,-202.0,-1.600893,0.04566399733809772,-1.0,-60.30423940149626,1678.4879870150062,-0.004228662,0.007371199,2005
1120,0.94347537,2508.017184229791,0.4444444444444444,0.40119186,0.9999999061153082,1.0,-3.5292490949903743,1.7817019452359584e-16,1.8457780643146153,2.7427125,0.17037062888889842,-2.43336467230415,0.1618856125918139,0.03700545922239066,0.7626009,0.6622644997747189,-114.55,-202.0,-1.5802784,0.04373178387184031,-1.0,-65.03309929789368,2048.310840243901,-0.0022986839,0.0022632403,1994
1140,0.94021696,1692.5531891119997,0.6666666666666666,0.37689665,0.9999998987481991,1.0,-3.0229325337006028,-2.912060392459427e-17,2.3408608322509945,3.0086813,0.2249025405491052,-0.4477516221297809,0.2314634426665375,0.028724219397803695,0.822001,0.660159875205425,-107.5,-193.0,-1.366651,0.049326802113548146,-1.0,-58.66700819672131,1581.364526295015,-0.0021518688,0.006784755,1952
1160,0.94124573,1260.7409139601305,0.6666666666666666,0.403822,0.9999998902425642,1.0,-4.180474953655829,-9.260206080081506e-17,2.5358287974302325,3.0134995,0.25990275622017056,-2.4581875361944863,0.29452902564336036,0.03142822941948803,0.71655786,0.660183653510255,-104.7,-195.0,-1.7182573,0.04662514797697825,-1.0,-55.1734335839599,1263.2842065062407,-0.0009121853,0.0026928815,1995
